# Revision 1.41,,,,,,,,,,,,,
# 8-Apr-2015,,,,,,,,,,,,,
# Revision 1.43,Added 32QFN,,,,,,,,,,,,
# 21-Oct-2020,,,,,,,,,,,,,
# Revision 1.44,Added WLCSP36,,,,,,,,,,,,
# 16-Nov-2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,TQFP144,CSBGA132,TQFP100,WLCSP25,QFN32,WLCSP36
141,PT15C,0,JTAGENB,True_OF_PT15D,-,-,-,120,B9,82,B2,26,B2
142,NC,-,-,-,-,-,-,-,-,-,-,-,-
143,PT15B,0,-,Comp_OF_PT15A,TRUE,-,-,121,A9,83,-,-,-
144,PT15A,0,-,True_OF_PT15B,TRUE,-,-,122,C9,84,-,-,-
145,NC,-,-,-,-,-,-,-,-,-,-,-,-
146,VCCIO0,0,-,-,-,-,-,123,A8,-,C2,-,-
147,GND,-,-,-,-,-,+,124,-,-,-,-,-
148,NC,-,-,-,-,-,+,-,-,-,-,-,-
149,PT12D,0,SDA/PCLKC0_0,Comp_OF_PT12C,-,-,+,125,B8,85,A3,27,C2
150,PT12C,0,SCL/PCLKT0_0,True_OF_PT12D,-,-,+,126,C8,86,B3,28,D2
151,NC,-,-,-,-,-,+,-,-,-,-,-,-
152,PT12B,0,PCLKC0_1,Comp_OF_PT12A,TRUE,-,+,127,B7,87,-,-,B3
153,PT12A,0,PCLKT0_1,True_OF_PT12B,TRUE,-,+,128,A7,88,D2,-,A4
154,NC,-,-,-,-,-,+,-,-,-,-,-,-
155,NC,-,-,-,-,-,+,-,-,-,-,-,-
156,NC,-,-,-,-,-,+,-,-,-,-,-,-
157,PT11D,0,TMS,Comp_OF_PT11C,-,-,+,130,A6,90,B4,29,C3
158,PT11C,0,TCK,True_OF_PT11D,-,-,+,131,B6,91,A4,30,D3
159,NC,-,-,-,-,-,+,-,-,-,-,-,-
160,PT11B,0,-,Comp_OF_PT11A,TRUE,-,+,132,C6,-,-,-,-
161,PT11A,0,-,True_OF_PT11B,TRUE,-,+,133,B5,-,-,-,-
162,NC,-,-,-,-,-,+,-,-,-,-,-,-
163,GND,-,-,-,-,-,-,134,A5,92,C3,-,-
164,VCCIO0,0,-,-,-,-,-,135,C5,93,-,31,-
165,NC,-,-,-,-,-,-,-,-,-,-,-,-
166,PT10D,0,TDI,Comp_OF_PT10C,-,-,-,136,B4,94,C5,32,A5
167,PT10C,0,TDO,True_OF_PT10D,-,-,-,137,A4,95,A5,1,B4
168,NC,-,-,-,-,-,-,-,-,-,-,-,-
169,PT10B,0,-,Comp_OF_PT10A,TRUE,-,-,138,C4,96,-,-,C4
170,PT10A,0,-,True_OF_PT10B,TRUE,-,-,139,A3,97,-,-,D4
